lng,lat,timestamp
-113.727,-38.6795,1496153007
-109.8128,-41.0063,1496153069
-105.6405,-43.1547,1496153129
-101.1222,-45.1352,1496153190
-96.321,-46.8892,1496153251
-91.1586,-48.4174,1496153312
-85.7839,-49.6668,1496153373
-80.0544,-50.6251,1496153433
-74.1657,-51.2701,1496153494
-68.1476,-51.5858,1496153555
-62.0892,-51.5638,1496153615
-56.0347,-51.2005,1496153677
-50.171,-50.5113,1496153737
-44.5224,-49.5118,1496153798
